community_name_join,year,crime_type,crime_count,population_2019,sector,comm_structure,crime_rate_per_1000
02c,2024,Break & Enter - Commercial,1,,,,
02c,2024,Theft OF Vehicle,1,,,,
02e,2018,Assault (Non-domestic),66,,,,
02e,2018,Violence  'Other' (Non-domestic),7,,,,
02e,2019,Assault (Non-domestic),38,,,,
02e,2019,Break & Enter - Commercial,3,,,,
02e,2019,Theft FROM Vehicle,3,,,,
02e,2019,Violence  'Other' (Non-domestic),10,,,,
02e,2020,Assault (Non-domestic),52,,,,
02e,2020,Theft FROM Vehicle,1,,,,
02e,2020,Theft OF Vehicle,1,,,,
02e,2020,Violence  'Other' (Non-domestic),7,,,,
02e,2021,Assault (Non-domestic),58,,,,
02e,2021,Break & Enter - Dwelling,1,,,,
02e,2021,Commercial Robbery,1,,,,
02e,2021,Theft FROM Vehicle,3,,,,
02e,2021,Violence  'Other' (Non-domestic),12,,,,
02e,2022,Assault (Non-domestic),63,,,,
02e,2022,Commercial Robbery,1,,,,
02e,2022,Street Robbery,1,,,,
02e,2022,Theft FROM Vehicle,1,,,,
02e,2022,Violence  'Other' (Non-domestic),14,,,,
02e,2023,Assault (Non-domestic),55,,,,
02e,2023,Break & Enter - Commercial,1,,,,
02e,2023,Theft FROM Vehicle,1,,,,
02e,2023,Theft OF Vehicle,1,,,,
02e,2023,Violence  'Other' (Non-domestic),16,,,,
02e,2024,Assault (Non-domestic),44,,,,
02e,2024,Break & Enter - Commercial,1,,,,
02e,2024,Break & Enter - Dwelling,1,,,,
02e,2024,Theft FROM Vehicle,1,,,,
02e,2024,Violence  'Other' (Non-domestic),9,,,,
02f,2018,Break & Enter - Commercial,1,,,,
02f,2018,Theft FROM Vehicle,1,,,,
02f,2019,Assault (Non-domestic),1,,,,
02f,2019,Break & Enter - Commercial,2,,,,
02f,2019,Break & Enter - Other Premises,1,,,,
02f,2019,Theft FROM Vehicle,1,,,,
02f,2019,Theft OF Vehicle,1,,,,
02f,2020,Assault (Non-domestic),1,,,,
02f,2021,Break & Enter - Commercial,4,,,,
02f,2022,Assault (Non-domestic),1,,,,
02f,2022,Break & Enter - Commercial,2,,,,
02f,2023,Break & Enter - Commercial,3,,,,
02f,2023,Theft FROM Vehicle,2,,,,
02f,2023,Theft OF Vehicle,1,,,,
02f,2023,Violence  'Other' (Non-domestic),1,,,,
02f,2024,Assault (Non-domestic),2,,,,
02f,2024,Break & Enter - Commercial,3,,,,
02f,2024,Theft OF Vehicle,1,,,,
02k,2018,Theft FROM Vehicle,2,,,,
02k,2018,Violence  'Other' (Non-domestic),1,,,,
02k,2020,Break & Enter - Commercial,1,,,,
02k,2023,Violence  'Other' (Non-domestic),1,,,,
02k,2024,Violence  'Other' (Non-domestic),1,,,,
02l,2024,Theft OF Vehicle,1,,,,
03w,2018,Break & Enter - Commercial,4,,,,
03w,2018,Theft OF Vehicle,1,,,,
03w,2019,Break & Enter - Commercial,1,,,,
03w,2020,Break & Enter - Commercial,3,,,,
03w,2021,Break & Enter - Commercial,1,,,,
03w,2021,Theft FROM Vehicle,2,,,,
03w,2022,Break & Enter - Commercial,3,,,,
03w,2022,Theft FROM Vehicle,4,,,,
03w,2022,Violence  'Other' (Non-domestic),1,,,,
03w,2023,Break & Enter - Commercial,3,,,,
03w,2023,Theft FROM Vehicle,1,,,,
03w,2023,Theft OF Vehicle,1,,,,
03w,2024,Break & Enter - Commercial,1,,,,
05d,2018,Theft OF Vehicle,1,,,,
05d,2020,Violence  'Other' (Non-domestic),1,,,,
05d,2021,Break & Enter - Commercial,3,,,,
05d,2021,Theft OF Vehicle,1,,,,
05d,2022,Theft FROM Vehicle,1,,,,
05d,2022,Theft OF Vehicle,1,,,,
05d,2023,Assault (Non-domestic),3,,,,
05d,2023,Break & Enter - Commercial,3,,,,
05d,2023,Theft FROM Vehicle,3,,,,
05d,2023,Theft OF Vehicle,2,,,,
05d,2024,Break & Enter - Commercial,2,,,,
05d,2024,Theft FROM Vehicle,1,,,,
05d,2024,Theft OF Vehicle,2,,,,
05f,2019,Theft OF Vehicle,1,,,,
05f,2020,Theft OF Vehicle,2,,,,
05f,2021,Theft FROM Vehicle,1,,,,
05f,2021,Theft OF Vehicle,1,,,,
05f,2023,Theft FROM Vehicle,1,,,,
05f,2023,Theft OF Vehicle,3,,,,
05f,2024,Theft OF Vehicle,3,,,,
06a,2019,Theft FROM Vehicle,2,,,,
06a,2019,Theft OF Vehicle,1,,,,
06a,2020,Break & Enter - Commercial,1,,,,
06a,2020,Theft FROM Vehicle,1,,,,
06a,2022,Assault (Non-domestic),1,,,,
06a,2023,Break & Enter - Commercial,2,,,,
06a,2023,Theft FROM Vehicle,2,,,,
06a,2023,Violence  'Other' (Non-domestic),1,,,,
06a,2024,Theft FROM Vehicle,1,,,,
06b,2018,Theft OF Vehicle,1,,,,
06b,2019,Break & Enter - Other Premises,1,,,,
06b,2020,Violence  'Other' (Non-domestic),1,,,,
06b,2021,Violence  'Other' (Non-domestic),1,,,,
06b,2023,Violence  'Other' (Non-domestic),1,,,,
06c,2019,Street Robbery,1,,,,
06c,2023,Theft FROM Vehicle,1,,,,
09h,2018,Theft FROM Vehicle,1,,,,
09h,2022,Theft FROM Vehicle,1,,,,
09h,2022,Theft OF Vehicle,1,,,,
09h,2023,Assault (Non-domestic),1,,,,
09h,2023,Theft FROM Vehicle,4,,,,
09h,2024,Theft FROM Vehicle,1,,,,
09k,2018,Break & Enter - Commercial,3,,,,
09k,2018,Break & Enter - Other Premises,1,,,,
09k,2018,Theft OF Vehicle,3,,,,
09k,2019,Break & Enter - Commercial,3,,,,
09k,2020,Break & Enter - Commercial,2,,,,
09k,2020,Theft OF Vehicle,3,,,,
09k,2021,Break & Enter - Commercial,5,,,,
09k,2021,Theft OF Vehicle,6,,,,
09k,2022,Theft OF Vehicle,2,,,,
09k,2023,Break & Enter - Commercial,6,,,,
09k,2023,Break & Enter - Other Premises,1,,,,
09k,2023,Theft FROM Vehicle,1,,,,
09k,2023,Theft OF Vehicle,1,,,,
09k,2024,Break & Enter - Commercial,4,,,,
09k,2024,Theft OF Vehicle,2,,,,
09o,2018,Assault (Non-domestic),3,,,,
09o,2018,Break & Enter - Commercial,3,,,,
09o,2018,Theft FROM Vehicle,6,,,,
09o,2019,Assault (Non-domestic),1,,,,
09o,2019,Break & Enter - Commercial,4,,,,
09o,2019,Break & Enter - Dwelling,1,,,,
09o,2019,Theft FROM Vehicle,4,,,,
09o,2019,Theft OF Vehicle,3,,,,
09o,2019,Violence  'Other' (Non-domestic),1,,,,
09o,2020,Assault (Non-domestic),2,,,,
09o,2020,Break & Enter - Commercial,1,,,,
09o,2020,Break & Enter - Other Premises,2,,,,
09o,2020,Theft FROM Vehicle,7,,,,
09o,2020,Theft OF Vehicle,1,,,,
09o,2021,Assault (Non-domestic),1,,,,
09o,2021,Break & Enter - Commercial,2,,,,
09o,2021,Theft FROM Vehicle,6,,,,
09o,2021,Theft OF Vehicle,4,,,,
09o,2021,Violence  'Other' (Non-domestic),1,,,,
09o,2022,Break & Enter - Commercial,2,,,,
09o,2022,Break & Enter - Dwelling,1,,,,
09o,2022,Theft FROM Vehicle,3,,,,
09o,2022,Theft OF Vehicle,6,,,,
09o,2022,Violence  'Other' (Non-domestic),1,,,,
09o,2023,Assault (Non-domestic),1,,,,
09o,2023,Break & Enter - Commercial,2,,,,
09o,2023,Break & Enter - Dwelling,1,,,,
09o,2023,Theft FROM Vehicle,2,,,,
09o,2023,Theft OF Vehicle,6,,,,
09o,2024,Break & Enter - Commercial,1,,,,
09o,2024,Theft FROM Vehicle,2,,,,
09o,2024,Theft OF Vehicle,1,,,,
09o,2024,Violence  'Other' (Non-domestic),1,,,,
09p,2018,Violence  'Other' (Non-domestic),1,,,,
09p,2020,Theft OF Vehicle,1,,,,
09p,2021,Break & Enter - Dwelling,1,,,,
09p,2021,Theft OF Vehicle,2,,,,
09p,2022,Break & Enter - Other Premises,1,,,,
09p,2022,Theft FROM Vehicle,2,,,,
09p,2022,Theft OF Vehicle,2,,,,
09p,2022,Violence  'Other' (Non-domestic),1,,,,
09p,2023,Break & Enter - Commercial,1,,,,
09p,2023,Break & Enter - Dwelling,1,,,,
09p,2023,Theft FROM Vehicle,1,,,,
09p,2023,Theft OF Vehicle,2,,,,
09p,2023,Violence  'Other' (Non-domestic),1,,,,
09p,2024,Assault (Non-domestic),1,,,,
09p,2024,Theft FROM Vehicle,3,,,,
09p,2024,Theft OF Vehicle,1,,,,
09q,2018,Assault (Non-domestic),1,,,,
09q,2018,Break & Enter - Commercial,1,,,,
09q,2018,Street Robbery,1,,,,
09q,2018,Theft FROM Vehicle,5,,,,
09q,2018,Theft OF Vehicle,1,,,,
09q,2019,Theft FROM Vehicle,5,,,,
09q,2019,Theft OF Vehicle,1,,,,
09q,2020,Street Robbery,1,,,,
09q,2020,Theft FROM Vehicle,3,,,,
09q,2021,Assault (Non-domestic),1,,,,
09q,2021,Break & Enter - Commercial,1,,,,
09q,2021,Break & Enter - Other Premises,1,,,,
09q,2021,Street Robbery,1,,,,
09q,2021,Theft FROM Vehicle,3,,,,
09q,2021,Theft OF Vehicle,2,,,,
09q,2021,Violence  'Other' (Non-domestic),4,,,,
09q,2022,Assault (Non-domestic),3,,,,
09q,2022,Break & Enter - Commercial,5,,,,
09q,2022,Theft FROM Vehicle,3,,,,
09q,2022,Theft OF Vehicle,3,,,,
09q,2023,Assault (Non-domestic),3,,,,
09q,2023,Break & Enter - Commercial,1,,,,
09q,2023,Theft FROM Vehicle,2,,,,
09q,2023,Theft OF Vehicle,4,,,,
09q,2024,Assault (Non-domestic),2,,,,
09q,2024,Theft FROM Vehicle,3,,,,
09q,2024,Theft OF Vehicle,1,,,,
09q,2024,Violence  'Other' (Non-domestic),1,,,,
10d,2018,Assault (Non-domestic),1,,,,
10d,2018,Street Robbery,1,,,,
10d,2019,Theft FROM Vehicle,2,,,,
10d,2019,Theft OF Vehicle,2,,,,
10d,2020,Assault (Non-domestic),1,,,,
10d,2020,Theft OF Vehicle,1,,,,
10d,2021,Assault (Non-domestic),1,,,,
10d,2021,Break & Enter - Dwelling,1,,,,
10d,2021,Theft FROM Vehicle,1,,,,
10d,2021,Theft OF Vehicle,2,,,,
10d,2022,Theft FROM Vehicle,4,,,,
10d,2023,Theft OF Vehicle,1,,,,
10d,2024,Assault (Non-domestic),1,,,,
10d,2024,Break & Enter - Commercial,1,,,,
10e,2018,Break & Enter - Commercial,9,,,,
10e,2018,Break & Enter - Other Premises,1,,,,
10e,2018,Theft FROM Vehicle,4,,,,
10e,2018,Theft OF Vehicle,3,,,,
10e,2019,Break & Enter - Commercial,13,,,,
10e,2019,Theft FROM Vehicle,3,,,,
10e,2019,Theft OF Vehicle,7,,,,
10e,2020,Assault (Non-domestic),1,,,,
10e,2020,Break & Enter - Commercial,8,,,,
10e,2020,Break & Enter - Dwelling,1,,,,
10e,2020,Theft FROM Vehicle,8,,,,
10e,2020,Theft OF Vehicle,3,,,,
10e,2020,Violence  'Other' (Non-domestic),1,,,,
10e,2021,Assault (Non-domestic),1,,,,
10e,2021,Break & Enter - Commercial,3,,,,
10e,2021,Theft FROM Vehicle,3,,,,
10e,2021,Theft OF Vehicle,3,,,,
10e,2022,Break & Enter - Commercial,5,,,,
10e,2022,Theft FROM Vehicle,8,,,,
10e,2022,Theft OF Vehicle,7,,,,
10e,2023,Assault (Non-domestic),1,,,,
10e,2023,Break & Enter - Commercial,4,,,,
10e,2023,Theft FROM Vehicle,6,,,,
10e,2023,Theft OF Vehicle,5,,,,
10e,2024,Assault (Non-domestic),2,,,,
10e,2024,Break & Enter - Commercial,11,,,,
10e,2024,Theft FROM Vehicle,4,,,,
10e,2024,Theft OF Vehicle,5,,,,
12a,2018,Assault (Non-domestic),1,,,,
12a,2018,Break & Enter - Commercial,28,,,,
12a,2018,Break & Enter - Dwelling,1,,,,
12a,2018,Theft FROM Vehicle,11,,,,
12a,2018,Theft OF Vehicle,11,,,,
12a,2018,Violence  'Other' (Non-domestic),2,,,,
12a,2019,Break & Enter - Commercial,28,,,,
12a,2019,Break & Enter - Other Premises,1,,,,
12a,2019,Theft FROM Vehicle,9,,,,
12a,2019,Theft OF Vehicle,11,,,,
12a,2019,Violence  'Other' (Non-domestic),1,,,,
12a,2020,Assault (Non-domestic),1,,,,
12a,2020,Break & Enter - Commercial,38,,,,
12a,2020,Theft FROM Vehicle,20,,,,
12a,2020,Theft OF Vehicle,14,,,,
12a,2020,Violence  'Other' (Non-domestic),1,,,,
12a,2021,Break & Enter - Commercial,17,,,,
12a,2021,Break & Enter - Other Premises,2,,,,
12a,2021,Theft FROM Vehicle,8,,,,
12a,2021,Theft OF Vehicle,11,,,,
12a,2021,Violence  'Other' (Non-domestic),2,,,,
12a,2022,Assault (Non-domestic),1,,,,
12a,2022,Break & Enter - Commercial,22,,,,
12a,2022,Break & Enter - Dwelling,1,,,,
12a,2022,Break & Enter - Other Premises,4,,,,
12a,2022,Theft FROM Vehicle,13,,,,
12a,2022,Theft OF Vehicle,13,,,,
12a,2022,Violence  'Other' (Non-domestic),1,,,,
12a,2023,Assault (Non-domestic),2,,,,
12a,2023,Break & Enter - Commercial,21,,,,
12a,2023,Theft FROM Vehicle,15,,,,
12a,2023,Theft OF Vehicle,13,,,,
12a,2024,Assault (Non-domestic),1,,,,
12a,2024,Break & Enter - Commercial,18,,,,
12a,2024,Break & Enter - Dwelling,1,,,,
12a,2024,Theft FROM Vehicle,7,,,,
12a,2024,Theft OF Vehicle,8,,,,
12b,2018,Assault (Non-domestic),1,,,,
12b,2018,Break & Enter - Commercial,4,,,,
12b,2018,Theft OF Vehicle,3,,,,
12b,2019,Break & Enter - Commercial,2,,,,
12b,2019,Theft FROM Vehicle,1,,,,
12b,2020,Assault (Non-domestic),1,,,,
12b,2020,Theft FROM Vehicle,2,,,,
12b,2020,Theft OF Vehicle,3,,,,
12b,2021,Break & Enter - Commercial,1,,,,
12b,2021,Theft FROM Vehicle,1,,,,
12b,2022,Break & Enter - Commercial,3,,,,
12b,2023,Theft OF Vehicle,1,,,,
12b,2024,Break & Enter - Dwelling,1,,,,
12c,2018,Theft FROM Vehicle,2,,,,
12c,2019,Theft OF Vehicle,1,,,,
12c,2022,Violence  'Other' (Non-domestic),1,,,,
12c,2023,Theft OF Vehicle,1,,,,
12c,2024,Street Robbery,1,,,,
12i,2020,Break & Enter - Commercial,1,,,,
12i,2024,Break & Enter - Commercial,3,,,,
12j,2018,Theft OF Vehicle,1,,,,
12j,2019,Break & Enter - Commercial,12,,,,
12j,2019,Break & Enter - Other Premises,1,,,,
12j,2019,Theft FROM Vehicle,1,,,,
12j,2019,Theft OF Vehicle,3,,,,
12j,2020,Break & Enter - Commercial,15,,,,
12j,2020,Theft FROM Vehicle,6,,,,
12j,2020,Theft OF Vehicle,4,,,,
12j,2021,Break & Enter - Commercial,4,,,,
12j,2021,Theft FROM Vehicle,4,,,,
12j,2021,Theft OF Vehicle,2,,,,
12j,2022,Break & Enter - Commercial,6,,,,
12j,2022,Break & Enter - Other Premises,1,,,,
12j,2022,Theft FROM Vehicle,8,,,,
12j,2022,Theft OF Vehicle,4,,,,
12j,2023,Assault (Non-domestic),1,,,,
12j,2023,Break & Enter - Commercial,4,,,,
12j,2023,Theft FROM Vehicle,3,,,,
12j,2023,Theft OF Vehicle,2,,,,
12j,2024,Break & Enter - Commercial,2,,,,
12j,2024,Break & Enter - Other Premises,1,,,,
12j,2024,Theft FROM Vehicle,2,,,,
12j,2024,Theft OF Vehicle,1,,,,
12k,2018,Theft FROM Vehicle,1,,,,
12k,2022,Theft FROM Vehicle,1,,,,
12l,2018,Break & Enter - Commercial,1,,,,
12l,2018,Break & Enter - Dwelling,1,,,,
12l,2018,Theft OF Vehicle,1,,,,
12l,2019,Break & Enter - Commercial,5,,,,
12l,2019,Break & Enter - Dwelling,2,,,,
12l,2019,Theft FROM Vehicle,1,,,,
12l,2020,Break & Enter - Commercial,8,,,,
12l,2021,Break & Enter - Commercial,1,,,,
12l,2022,Break & Enter - Commercial,1,,,,
12l,2022,Break & Enter - Other Premises,1,,,,
12l,2022,Theft FROM Vehicle,4,,,,
12l,2022,Theft OF Vehicle,1,,,,
12l,2023,Theft FROM Vehicle,4,,,,
12l,2024,Break & Enter - Dwelling,1,,,,
13a,2019,Break & Enter - Dwelling,1,,,,
13a,2019,Theft OF Vehicle,1,,,,
13c,2023,Theft FROM Vehicle,1,,,,
13e,2022,Theft OF Vehicle,1,,,,
13f,2018,Assault (Non-domestic),1,,,,
13f,2019,Break & Enter - Commercial,5,,,,
13f,2019,Break & Enter - Dwelling,2,,,,
13f,2019,Theft FROM Vehicle,1,,,,
13f,2019,Theft OF Vehicle,1,,,,
13f,2020,Break & Enter - Commercial,1,,,,
13f,2020,Theft FROM Vehicle,2,,,,
13f,2020,Theft OF Vehicle,1,,,,
13f,2021,Theft FROM Vehicle,3,,,,
13f,2021,Theft OF Vehicle,1,,,,
13f,2022,Theft FROM Vehicle,6,,,,
13f,2022,Theft OF Vehicle,1,,,,
13f,2023,Theft FROM Vehicle,1,,,,
13f,2023,Theft OF Vehicle,1,,,,
13f,2024,Break & Enter - Commercial,1,,,,
13f,2024,Theft FROM Vehicle,1,,,,
13f,2024,Violence  'Other' (Non-domestic),1,,,,
13g,2018,Break & Enter - Commercial,1,,,,
13g,2018,Break & Enter - Dwelling,1,,,,
13g,2019,Break & Enter - Commercial,3,,,,
13g,2020,Break & Enter - Commercial,3,,,,
13g,2021,Break & Enter - Commercial,3,,,,
13g,2021,Theft OF Vehicle,2,,,,
13g,2022,Break & Enter - Commercial,1,,,,
13g,2022,Theft FROM Vehicle,1,,,,
13g,2022,Theft OF Vehicle,1,,,,
13g,2023,Theft FROM Vehicle,2,,,,
13g,2024,Theft FROM Vehicle,1,,,,
13m,2020,Break & Enter - Commercial,1,,,,
13m,2021,Break & Enter - Commercial,5,,,,
13m,2022,Break & Enter - Commercial,1,,,,
13m,2022,Theft FROM Vehicle,1,,,,
13m,2023,Assault (Non-domestic),1,,,,
13m,2024,Break & Enter - Commercial,1,,,,
abbeydale,2018,Assault (Non-domestic),10,5957.0,NORTHEAST,2000s,1.6786973308712438
abbeydale,2018,Break & Enter - Commercial,1,5957.0,NORTHEAST,2000s,0.16786973308712438
abbeydale,2018,Break & Enter - Dwelling,9,5957.0,NORTHEAST,2000s,1.5108275977841195
abbeydale,2018,Break & Enter - Other Premises,7,5957.0,NORTHEAST,2000s,1.1750881316098707
abbeydale,2018,Commercial Robbery,3,5957.0,NORTHEAST,2000s,0.5036091992613732
abbeydale,2018,Street Robbery,3,5957.0,NORTHEAST,2000s,0.5036091992613732
abbeydale,2018,Theft FROM Vehicle,41,5957.0,NORTHEAST,2000s,6.8826590565721
abbeydale,2018,Theft OF Vehicle,28,5957.0,NORTHEAST,2000s,4.700352526439483
abbeydale,2018,Violence  'Other' (Non-domestic),6,5957.0,NORTHEAST,2000s,1.0072183985227463
abbeydale,2019,Assault (Non-domestic),17,5957.0,NORTHEAST,2000s,2.853785462481115
abbeydale,2019,Break & Enter - Commercial,2,5957.0,NORTHEAST,2000s,0.33573946617424877
abbeydale,2019,Break & Enter - Dwelling,10,5957.0,NORTHEAST,2000s,1.6786973308712438
abbeydale,2019,Break & Enter - Other Premises,8,5957.0,NORTHEAST,2000s,1.342957864696995
abbeydale,2019,Commercial Robbery,5,5957.0,NORTHEAST,2000s,0.8393486654356219
abbeydale,2019,Street Robbery,3,5957.0,NORTHEAST,2000s,0.5036091992613732
abbeydale,2019,Theft FROM Vehicle,53,5957.0,NORTHEAST,2000s,8.897095853617593
abbeydale,2019,Theft OF Vehicle,35,5957.0,NORTHEAST,2000s,5.875440658049354
abbeydale,2019,Violence  'Other' (Non-domestic),7,5957.0,NORTHEAST,2000s,1.1750881316098707
abbeydale,2020,Assault (Non-domestic),15,5957.0,NORTHEAST,2000s,2.518045996306866
abbeydale,2020,Break & Enter - Commercial,1,5957.0,NORTHEAST,2000s,0.16786973308712438
abbeydale,2020,Break & Enter - Dwelling,4,5957.0,NORTHEAST,2000s,0.6714789323484975
abbeydale,2020,Break & Enter - Other Premises,8,5957.0,NORTHEAST,2000s,1.342957864696995
abbeydale,2020,Street Robbery,1,5957.0,NORTHEAST,2000s,0.16786973308712438
abbeydale,2020,Theft FROM Vehicle,35,5957.0,NORTHEAST,2000s,5.875440658049354
abbeydale,2020,Theft OF Vehicle,28,5957.0,NORTHEAST,2000s,4.700352526439483
abbeydale,2020,Violence  'Other' (Non-domestic),16,5957.0,NORTHEAST,2000s,2.68591572939399
abbeydale,2021,Assault (Non-domestic),14,5957.0,NORTHEAST,2000s,2.3501762632197414
abbeydale,2021,Break & Enter - Commercial,3,5957.0,NORTHEAST,2000s,0.5036091992613732
abbeydale,2021,Break & Enter - Dwelling,6,5957.0,NORTHEAST,2000s,1.0072183985227463
abbeydale,2021,Break & Enter - Other Premises,7,5957.0,NORTHEAST,2000s,1.1750881316098707
abbeydale,2021,Commercial Robbery,7,5957.0,NORTHEAST,2000s,1.1750881316098707
abbeydale,2021,Street Robbery,2,5957.0,NORTHEAST,2000s,0.33573946617424877
abbeydale,2021,Theft FROM Vehicle,47,5957.0,NORTHEAST,2000s,7.889877455094847
abbeydale,2021,Theft OF Vehicle,21,5957.0,NORTHEAST,2000s,3.5252643948296125
abbeydale,2021,Violence  'Other' (Non-domestic),9,5957.0,NORTHEAST,2000s,1.5108275977841195
abbeydale,2022,Assault (Non-domestic),22,5957.0,NORTHEAST,2000s,3.6931341279167365
abbeydale,2022,Break & Enter - Commercial,4,5957.0,NORTHEAST,2000s,0.6714789323484975
abbeydale,2022,Break & Enter - Dwelling,7,5957.0,NORTHEAST,2000s,1.1750881316098707
abbeydale,2022,Break & Enter - Other Premises,4,5957.0,NORTHEAST,2000s,0.6714789323484975
abbeydale,2022,Commercial Robbery,4,5957.0,NORTHEAST,2000s,0.6714789323484975
abbeydale,2022,Street Robbery,4,5957.0,NORTHEAST,2000s,0.6714789323484975
abbeydale,2022,Theft FROM Vehicle,45,5957.0,NORTHEAST,2000s,7.554137988920598
abbeydale,2022,Theft OF Vehicle,22,5957.0,NORTHEAST,2000s,3.6931341279167365
abbeydale,2022,Violence  'Other' (Non-domestic),8,5957.0,NORTHEAST,2000s,1.342957864696995
abbeydale,2023,Assault (Non-domestic),16,5957.0,NORTHEAST,2000s,2.68591572939399
abbeydale,2023,Break & Enter - Dwelling,6,5957.0,NORTHEAST,2000s,1.0072183985227463
abbeydale,2023,Break & Enter - Other Premises,3,5957.0,NORTHEAST,2000s,0.5036091992613732
abbeydale,2023,Commercial Robbery,2,5957.0,NORTHEAST,2000s,0.33573946617424877
abbeydale,2023,Street Robbery,5,5957.0,NORTHEAST,2000s,0.8393486654356219
abbeydale,2023,Theft FROM Vehicle,26,5957.0,NORTHEAST,2000s,4.364613060265235
abbeydale,2023,Theft OF Vehicle,21,5957.0,NORTHEAST,2000s,3.5252643948296125
abbeydale,2023,Violence  'Other' (Non-domestic),5,5957.0,NORTHEAST,2000s,0.8393486654356219
abbeydale,2024,Assault (Non-domestic),17,5957.0,NORTHEAST,2000s,2.853785462481115
abbeydale,2024,Break & Enter - Commercial,5,5957.0,NORTHEAST,2000s,0.8393486654356219
abbeydale,2024,Break & Enter - Dwelling,6,5957.0,NORTHEAST,2000s,1.0072183985227463
abbeydale,2024,Break & Enter - Other Premises,5,5957.0,NORTHEAST,2000s,0.8393486654356219
abbeydale,2024,Commercial Robbery,4,5957.0,NORTHEAST,2000s,0.6714789323484975
abbeydale,2024,Street Robbery,3,5957.0,NORTHEAST,2000s,0.5036091992613732
abbeydale,2024,Theft FROM Vehicle,30,5957.0,NORTHEAST,2000s,5.036091992613732
abbeydale,2024,Theft OF Vehicle,18,5957.0,NORTHEAST,2000s,3.021655195568239
abbeydale,2024,Violence  'Other' (Non-domestic),9,5957.0,NORTHEAST,2000s,1.5108275977841195
acadia,2018,Assault (Non-domestic),31,10520.0,SOUTH,1960s/1970s,2.9467680608365017
acadia,2018,Break & Enter - Commercial,30,10520.0,SOUTH,1960s/1970s,2.8517110266159698
acadia,2018,Break & Enter - Dwelling,13,10520.0,SOUTH,1960s/1970s,1.23574144486692
acadia,2018,Break & Enter - Other Premises,35,10520.0,SOUTH,1960s/1970s,3.326996197718631
acadia,2018,Commercial Robbery,2,10520.0,SOUTH,1960s/1970s,0.19011406844106463
acadia,2018,Street Robbery,2,10520.0,SOUTH,1960s/1970s,0.19011406844106463
acadia,2018,Theft FROM Vehicle,143,10520.0,SOUTH,1960s/1970s,13.593155893536121
