community_code,year,crime_type,crime_count,population,occupied_dwellings,persons_per_unit,sector,comm_structure,crime_rate_per_1000
02B,2020,Break & Enter - Commercial,1,,,,NORTH,UNDEVELOPED,
02B,2021,Break & Enter - Commercial,1,,,,NORTH,UNDEVELOPED,
02B,2023,Break & Enter - Commercial,1,,,,NORTH,UNDEVELOPED,
02C,2020,Break & Enter - Commercial,1,,,,NORTH,UNDEVELOPED,
02C,2021,Break & Enter - Commercial,1,,,,NORTH,UNDEVELOPED,
02C,2021,Theft OF Vehicle,1,,,,NORTH,UNDEVELOPED,
02C,2022,Break & Enter - Commercial,1,,,,NORTH,UNDEVELOPED,
02C,2022,Theft FROM Vehicle,1,,,,NORTH,UNDEVELOPED,
02C,2023,Break & Enter - Commercial,6,,,,NORTH,UNDEVELOPED,
02C,2023,Theft FROM Vehicle,7,,,,NORTH,UNDEVELOPED,
02C,2023,Theft OF Vehicle,1,,,,NORTH,UNDEVELOPED,
02C,2024,Break & Enter - Commercial,1,,,,NORTH,UNDEVELOPED,
02C,2024,Theft OF Vehicle,1,,,,NORTH,UNDEVELOPED,
02E,2018,Assault (Non-domestic),66,,,,NORTHWEST,OTHER,
02E,2018,Violence  'Other' (Non-domestic),7,,,,NORTHWEST,OTHER,
02E,2019,Assault (Non-domestic),38,,,,NORTHWEST,OTHER,
02E,2019,Break & Enter - Commercial,3,,,,NORTHWEST,OTHER,
02E,2019,Theft FROM Vehicle,3,,,,NORTHWEST,OTHER,
02E,2019,Violence  'Other' (Non-domestic),10,,,,NORTHWEST,OTHER,
02E,2020,Assault (Non-domestic),52,,,,NORTHWEST,OTHER,
02E,2020,Theft FROM Vehicle,1,,,,NORTHWEST,OTHER,
02E,2020,Theft OF Vehicle,1,,,,NORTHWEST,OTHER,
02E,2020,Violence  'Other' (Non-domestic),7,,,,NORTHWEST,OTHER,
02E,2021,Assault (Non-domestic),58,,,,NORTHWEST,OTHER,
02E,2021,Break & Enter - Dwelling,1,,,,NORTHWEST,OTHER,
02E,2021,Commercial Robbery,1,,,,NORTHWEST,OTHER,
02E,2021,Theft FROM Vehicle,3,,,,NORTHWEST,OTHER,
02E,2021,Violence  'Other' (Non-domestic),12,,,,NORTHWEST,OTHER,
02E,2022,Assault (Non-domestic),63,,,,NORTHWEST,OTHER,
02E,2022,Commercial Robbery,1,,,,NORTHWEST,OTHER,
02E,2022,Street Robbery,1,,,,NORTHWEST,OTHER,
02E,2022,Theft FROM Vehicle,1,,,,NORTHWEST,OTHER,
02E,2022,Violence  'Other' (Non-domestic),14,,,,NORTHWEST,OTHER,
02E,2023,Assault (Non-domestic),55,,,,NORTHWEST,OTHER,
02E,2023,Break & Enter - Commercial,1,,,,NORTHWEST,OTHER,
02E,2023,Theft FROM Vehicle,1,,,,NORTHWEST,OTHER,
02E,2023,Theft OF Vehicle,1,,,,NORTHWEST,OTHER,
02E,2023,Violence  'Other' (Non-domestic),16,,,,NORTHWEST,OTHER,
02E,2024,Assault (Non-domestic),44,,,,NORTHWEST,OTHER,
02E,2024,Break & Enter - Commercial,1,,,,NORTHWEST,OTHER,
02E,2024,Break & Enter - Dwelling,1,,,,NORTHWEST,OTHER,
02E,2024,Theft FROM Vehicle,1,,,,NORTHWEST,OTHER,
02E,2024,Violence  'Other' (Non-domestic),9,,,,NORTHWEST,OTHER,
02F,2018,Break & Enter - Commercial,1,,,,NORTHWEST,OTHER,
02F,2018,Theft FROM Vehicle,1,,,,NORTHWEST,OTHER,
02F,2019,Assault (Non-domestic),1,,,,NORTHWEST,OTHER,
02F,2019,Break & Enter - Commercial,2,,,,NORTHWEST,OTHER,
02F,2019,Break & Enter - Other Premises,1,,,,NORTHWEST,OTHER,
02F,2019,Theft FROM Vehicle,1,,,,NORTHWEST,OTHER,
02F,2019,Theft OF Vehicle,1,,,,NORTHWEST,OTHER,
02F,2020,Assault (Non-domestic),1,,,,NORTHWEST,OTHER,
02F,2021,Break & Enter - Commercial,4,,,,NORTHWEST,OTHER,
02F,2022,Assault (Non-domestic),1,,,,NORTHWEST,OTHER,
02F,2022,Break & Enter - Commercial,2,,,,NORTHWEST,OTHER,
02F,2023,Break & Enter - Commercial,3,,,,NORTHWEST,OTHER,
02F,2023,Theft FROM Vehicle,2,,,,NORTHWEST,OTHER,
02F,2023,Theft OF Vehicle,1,,,,NORTHWEST,OTHER,
02F,2023,Violence  'Other' (Non-domestic),1,,,,NORTHWEST,OTHER,
02F,2024,Assault (Non-domestic),2,,,,NORTHWEST,OTHER,
02F,2024,Break & Enter - Commercial,3,,,,NORTHWEST,OTHER,
02F,2024,Theft OF Vehicle,1,,,,NORTHWEST,OTHER,
02K,2018,Theft FROM Vehicle,2,,,,NORTH,UNDEVELOPED,
02K,2018,Violence  'Other' (Non-domestic),1,,,,NORTH,UNDEVELOPED,
02K,2020,Break & Enter - Commercial,1,,,,NORTH,UNDEVELOPED,
02K,2023,Violence  'Other' (Non-domestic),1,,,,NORTH,UNDEVELOPED,
02K,2024,Violence  'Other' (Non-domestic),1,,,,NORTH,UNDEVELOPED,
02L,2024,Theft OF Vehicle,1,,,,NORTH,OTHER,
03W,2018,Break & Enter - Commercial,4,,,,NORTH,OTHER,
03W,2018,Theft OF Vehicle,1,,,,NORTH,OTHER,
03W,2019,Break & Enter - Commercial,1,,,,NORTH,OTHER,
03W,2020,Break & Enter - Commercial,3,,,,NORTH,OTHER,
03W,2021,Break & Enter - Commercial,1,,,,NORTH,OTHER,
03W,2021,Theft FROM Vehicle,2,,,,NORTH,OTHER,
03W,2022,Break & Enter - Commercial,3,,,,NORTH,OTHER,
03W,2022,Theft FROM Vehicle,4,,,,NORTH,OTHER,
03W,2022,Violence  'Other' (Non-domestic),1,,,,NORTH,OTHER,
03W,2023,Break & Enter - Commercial,3,,,,NORTH,OTHER,
03W,2023,Theft FROM Vehicle,1,,,,NORTH,OTHER,
03W,2023,Theft OF Vehicle,1,,,,NORTH,OTHER,
03W,2024,Break & Enter - Commercial,1,,,,NORTH,OTHER,
05D,2018,Theft OF Vehicle,1,,,,NORTHEAST,OTHER,
05D,2020,Violence  'Other' (Non-domestic),1,,,,NORTHEAST,OTHER,
05D,2021,Break & Enter - Commercial,3,,,,NORTHEAST,OTHER,
05D,2021,Theft OF Vehicle,1,,,,NORTHEAST,OTHER,
05D,2022,Theft FROM Vehicle,1,,,,NORTHEAST,OTHER,
05D,2022,Theft OF Vehicle,1,,,,NORTHEAST,OTHER,
05D,2023,Assault (Non-domestic),3,,,,NORTHEAST,OTHER,
05D,2023,Break & Enter - Commercial,3,,,,NORTHEAST,OTHER,
05D,2023,Theft FROM Vehicle,3,,,,NORTHEAST,OTHER,
05D,2023,Theft OF Vehicle,2,,,,NORTHEAST,OTHER,
05D,2024,Break & Enter - Commercial,2,,,,NORTHEAST,OTHER,
05D,2024,Theft FROM Vehicle,1,,,,NORTHEAST,OTHER,
05D,2024,Theft OF Vehicle,2,,,,NORTHEAST,OTHER,
05F,2019,Theft OF Vehicle,1,,,,NORTHEAST,UNDEVELOPED,
05F,2020,Theft OF Vehicle,2,,,,NORTHEAST,UNDEVELOPED,
05F,2021,Theft FROM Vehicle,1,,,,NORTHEAST,UNDEVELOPED,
05F,2021,Theft OF Vehicle,1,,,,NORTHEAST,UNDEVELOPED,
05F,2023,Theft FROM Vehicle,1,,,,NORTHEAST,UNDEVELOPED,
05F,2023,Theft OF Vehicle,3,,,,NORTHEAST,UNDEVELOPED,
05F,2024,Theft OF Vehicle,3,,,,NORTHEAST,UNDEVELOPED,
06A,2019,Theft FROM Vehicle,2,,,,WEST,UNDEVELOPED,
06A,2019,Theft OF Vehicle,1,,,,WEST,UNDEVELOPED,
06A,2020,Break & Enter - Commercial,1,,,,WEST,UNDEVELOPED,
06A,2020,Theft FROM Vehicle,1,,,,WEST,UNDEVELOPED,
06A,2022,Assault (Non-domestic),1,,,,WEST,UNDEVELOPED,
06A,2023,Break & Enter - Commercial,2,,,,WEST,UNDEVELOPED,
06A,2023,Theft FROM Vehicle,2,,,,WEST,UNDEVELOPED,
06A,2023,Violence  'Other' (Non-domestic),1,,,,WEST,UNDEVELOPED,
06A,2024,Theft FROM Vehicle,1,,,,WEST,UNDEVELOPED,
06B,2018,Theft OF Vehicle,1,,,,WEST,OTHER,
06B,2019,Break & Enter - Other Premises,1,,,,WEST,OTHER,
06B,2020,Violence  'Other' (Non-domestic),1,,,,WEST,OTHER,
06B,2021,Violence  'Other' (Non-domestic),1,,,,WEST,OTHER,
06B,2023,Violence  'Other' (Non-domestic),1,,,,WEST,OTHER,
06C,2019,Street Robbery,1,,,,WEST,UNDEVELOPED,
06C,2023,Theft FROM Vehicle,1,,,,WEST,UNDEVELOPED,
09H,2018,Theft FROM Vehicle,1,,,,EAST,OTHER,
09H,2022,Theft FROM Vehicle,1,,,,EAST,OTHER,
09H,2022,Theft OF Vehicle,1,,,,EAST,OTHER,
09H,2023,Assault (Non-domestic),1,,,,EAST,OTHER,
09H,2023,Theft FROM Vehicle,4,,,,EAST,OTHER,
09H,2024,Theft FROM Vehicle,1,,,,EAST,OTHER,
09K,2018,Break & Enter - Commercial,3,,,,EAST,UNDEVELOPED,
09K,2018,Break & Enter - Other Premises,1,,,,EAST,UNDEVELOPED,
09K,2018,Theft OF Vehicle,3,,,,EAST,UNDEVELOPED,
09K,2019,Break & Enter - Commercial,3,,,,EAST,UNDEVELOPED,
09K,2020,Break & Enter - Commercial,2,,,,EAST,UNDEVELOPED,
09K,2020,Theft OF Vehicle,3,,,,EAST,UNDEVELOPED,
09K,2021,Break & Enter - Commercial,5,,,,EAST,UNDEVELOPED,
09K,2021,Theft OF Vehicle,6,,,,EAST,UNDEVELOPED,
09K,2022,Theft OF Vehicle,2,,,,EAST,UNDEVELOPED,
09K,2023,Break & Enter - Commercial,6,,,,EAST,UNDEVELOPED,
09K,2023,Break & Enter - Other Premises,1,,,,EAST,UNDEVELOPED,
09K,2023,Theft FROM Vehicle,1,,,,EAST,UNDEVELOPED,
09K,2023,Theft OF Vehicle,1,,,,EAST,UNDEVELOPED,
09K,2024,Break & Enter - Commercial,4,,,,EAST,UNDEVELOPED,
09K,2024,Theft OF Vehicle,2,,,,EAST,UNDEVELOPED,
09O,2018,Assault (Non-domestic),3,,,,EAST,OTHER,
09O,2018,Break & Enter - Commercial,3,,,,EAST,OTHER,
09O,2018,Theft FROM Vehicle,6,,,,EAST,OTHER,
09O,2019,Assault (Non-domestic),1,,,,EAST,OTHER,
09O,2019,Break & Enter - Commercial,4,,,,EAST,OTHER,
09O,2019,Break & Enter - Dwelling,1,,,,EAST,OTHER,
09O,2019,Theft FROM Vehicle,4,,,,EAST,OTHER,
09O,2019,Theft OF Vehicle,3,,,,EAST,OTHER,
09O,2019,Violence  'Other' (Non-domestic),1,,,,EAST,OTHER,
09O,2020,Assault (Non-domestic),2,,,,EAST,OTHER,
09O,2020,Break & Enter - Commercial,1,,,,EAST,OTHER,
09O,2020,Break & Enter - Other Premises,2,,,,EAST,OTHER,
09O,2020,Theft FROM Vehicle,7,,,,EAST,OTHER,
09O,2020,Theft OF Vehicle,1,,,,EAST,OTHER,
09O,2021,Assault (Non-domestic),1,,,,EAST,OTHER,
09O,2021,Break & Enter - Commercial,2,,,,EAST,OTHER,
09O,2021,Theft FROM Vehicle,6,,,,EAST,OTHER,
09O,2021,Theft OF Vehicle,4,,,,EAST,OTHER,
09O,2021,Violence  'Other' (Non-domestic),1,,,,EAST,OTHER,
09O,2022,Break & Enter - Commercial,2,,,,EAST,OTHER,
09O,2022,Break & Enter - Dwelling,1,,,,EAST,OTHER,
09O,2022,Theft FROM Vehicle,3,,,,EAST,OTHER,
09O,2022,Theft OF Vehicle,6,,,,EAST,OTHER,
09O,2022,Violence  'Other' (Non-domestic),1,,,,EAST,OTHER,
09O,2023,Assault (Non-domestic),1,,,,EAST,OTHER,
09O,2023,Break & Enter - Commercial,2,,,,EAST,OTHER,
09O,2023,Break & Enter - Dwelling,1,,,,EAST,OTHER,
09O,2023,Theft FROM Vehicle,2,,,,EAST,OTHER,
09O,2023,Theft OF Vehicle,6,,,,EAST,OTHER,
09O,2024,Break & Enter - Commercial,1,,,,EAST,OTHER,
09O,2024,Theft FROM Vehicle,2,,,,EAST,OTHER,
09O,2024,Theft OF Vehicle,1,,,,EAST,OTHER,
09O,2024,Violence  'Other' (Non-domestic),1,,,,EAST,OTHER,
09P,2018,Violence  'Other' (Non-domestic),1,,,,EAST,UNDEVELOPED,
09P,2020,Theft OF Vehicle,1,,,,EAST,UNDEVELOPED,
09P,2021,Break & Enter - Dwelling,1,,,,EAST,UNDEVELOPED,
09P,2021,Theft OF Vehicle,2,,,,EAST,UNDEVELOPED,
09P,2022,Break & Enter - Other Premises,1,,,,EAST,UNDEVELOPED,
09P,2022,Theft FROM Vehicle,2,,,,EAST,UNDEVELOPED,
09P,2022,Theft OF Vehicle,2,,,,EAST,UNDEVELOPED,
09P,2022,Violence  'Other' (Non-domestic),1,,,,EAST,UNDEVELOPED,
09P,2023,Break & Enter - Commercial,1,,,,EAST,UNDEVELOPED,
09P,2023,Break & Enter - Dwelling,1,,,,EAST,UNDEVELOPED,
09P,2023,Theft FROM Vehicle,1,,,,EAST,UNDEVELOPED,
09P,2023,Theft OF Vehicle,2,,,,EAST,UNDEVELOPED,
09P,2023,Violence  'Other' (Non-domestic),1,,,,EAST,UNDEVELOPED,
09P,2024,Assault (Non-domestic),1,,,,EAST,UNDEVELOPED,
09P,2024,Theft FROM Vehicle,3,,,,EAST,UNDEVELOPED,
09P,2024,Theft OF Vehicle,1,,,,EAST,UNDEVELOPED,
09Q,2018,Assault (Non-domestic),1,,,,EAST,OTHER,
09Q,2018,Break & Enter - Commercial,1,,,,EAST,OTHER,
09Q,2018,Street Robbery,1,,,,EAST,OTHER,
09Q,2018,Theft FROM Vehicle,5,,,,EAST,OTHER,
09Q,2018,Theft OF Vehicle,1,,,,EAST,OTHER,
09Q,2019,Theft FROM Vehicle,5,,,,EAST,OTHER,
09Q,2019,Theft OF Vehicle,1,,,,EAST,OTHER,
09Q,2020,Street Robbery,1,,,,EAST,OTHER,
09Q,2020,Theft FROM Vehicle,3,,,,EAST,OTHER,
09Q,2021,Assault (Non-domestic),1,,,,EAST,OTHER,
09Q,2021,Break & Enter - Commercial,1,,,,EAST,OTHER,
09Q,2021,Break & Enter - Other Premises,1,,,,EAST,OTHER,
09Q,2021,Street Robbery,1,,,,EAST,OTHER,
09Q,2021,Theft FROM Vehicle,3,,,,EAST,OTHER,
09Q,2021,Theft OF Vehicle,2,,,,EAST,OTHER,
09Q,2021,Violence  'Other' (Non-domestic),4,,,,EAST,OTHER,
09Q,2022,Assault (Non-domestic),3,,,,EAST,OTHER,
09Q,2022,Break & Enter - Commercial,5,,,,EAST,OTHER,
09Q,2022,Theft FROM Vehicle,3,,,,EAST,OTHER,
09Q,2022,Theft OF Vehicle,3,,,,EAST,OTHER,
09Q,2023,Assault (Non-domestic),3,,,,EAST,OTHER,
09Q,2023,Break & Enter - Commercial,1,,,,EAST,OTHER,
09Q,2023,Theft FROM Vehicle,2,,,,EAST,OTHER,
09Q,2023,Theft OF Vehicle,4,,,,EAST,OTHER,
09Q,2024,Assault (Non-domestic),2,,,,EAST,OTHER,
09Q,2024,Theft FROM Vehicle,3,,,,EAST,OTHER,
09Q,2024,Theft OF Vehicle,1,,,,EAST,OTHER,
09Q,2024,Violence  'Other' (Non-domestic),1,,,,EAST,OTHER,
10D,2018,Assault (Non-domestic),1,,,,NORTHEAST,OTHER,
10D,2018,Street Robbery,1,,,,NORTHEAST,OTHER,
10D,2019,Theft FROM Vehicle,2,,,,NORTHEAST,OTHER,
10D,2019,Theft OF Vehicle,2,,,,NORTHEAST,OTHER,
10D,2020,Assault (Non-domestic),1,,,,NORTHEAST,OTHER,
10D,2020,Theft OF Vehicle,1,,,,NORTHEAST,OTHER,
10D,2021,Assault (Non-domestic),1,,,,NORTHEAST,OTHER,
10D,2021,Break & Enter - Dwelling,1,,,,NORTHEAST,OTHER,
10D,2021,Theft FROM Vehicle,1,,,,NORTHEAST,OTHER,
10D,2021,Theft OF Vehicle,2,,,,NORTHEAST,OTHER,
10D,2022,Theft FROM Vehicle,4,,,,NORTHEAST,OTHER,
10D,2023,Theft OF Vehicle,1,,,,NORTHEAST,OTHER,
10D,2024,Assault (Non-domestic),1,,,,NORTHEAST,OTHER,
10D,2024,Break & Enter - Commercial,1,,,,NORTHEAST,OTHER,
10E,2018,Break & Enter - Commercial,9,,,,NORTHEAST,OTHER,
10E,2018,Break & Enter - Other Premises,1,,,,NORTHEAST,OTHER,
10E,2018,Theft FROM Vehicle,4,,,,NORTHEAST,OTHER,
10E,2018,Theft OF Vehicle,3,,,,NORTHEAST,OTHER,
10E,2019,Break & Enter - Commercial,13,,,,NORTHEAST,OTHER,
10E,2019,Theft FROM Vehicle,3,,,,NORTHEAST,OTHER,
10E,2019,Theft OF Vehicle,7,,,,NORTHEAST,OTHER,
10E,2020,Assault (Non-domestic),1,,,,NORTHEAST,OTHER,
10E,2020,Break & Enter - Commercial,8,,,,NORTHEAST,OTHER,
10E,2020,Break & Enter - Dwelling,1,,,,NORTHEAST,OTHER,
10E,2020,Theft FROM Vehicle,8,,,,NORTHEAST,OTHER,
10E,2020,Theft OF Vehicle,3,,,,NORTHEAST,OTHER,
10E,2020,Violence  'Other' (Non-domestic),1,,,,NORTHEAST,OTHER,
10E,2021,Assault (Non-domestic),1,,,,NORTHEAST,OTHER,
10E,2021,Break & Enter - Commercial,3,,,,NORTHEAST,OTHER,
10E,2021,Theft FROM Vehicle,3,,,,NORTHEAST,OTHER,
10E,2021,Theft OF Vehicle,3,,,,NORTHEAST,OTHER,
10E,2022,Break & Enter - Commercial,5,,,,NORTHEAST,OTHER,
10E,2022,Theft FROM Vehicle,8,,,,NORTHEAST,OTHER,
10E,2022,Theft OF Vehicle,7,,,,NORTHEAST,OTHER,
10E,2023,Assault (Non-domestic),1,,,,NORTHEAST,OTHER,
10E,2023,Break & Enter - Commercial,4,,,,NORTHEAST,OTHER,
10E,2023,Theft FROM Vehicle,6,,,,NORTHEAST,OTHER,
10E,2023,Theft OF Vehicle,5,,,,NORTHEAST,OTHER,
10E,2024,Assault (Non-domestic),2,,,,NORTHEAST,OTHER,
10E,2024,Break & Enter - Commercial,11,,,,NORTHEAST,OTHER,
10E,2024,Theft FROM Vehicle,4,,,,NORTHEAST,OTHER,
10E,2024,Theft OF Vehicle,5,,,,NORTHEAST,OTHER,
12A,2018,Assault (Non-domestic),1,,,,SOUTHEAST,OTHER,
12A,2018,Break & Enter - Commercial,28,,,,SOUTHEAST,OTHER,
12A,2018,Break & Enter - Dwelling,1,,,,SOUTHEAST,OTHER,
12A,2018,Theft FROM Vehicle,11,,,,SOUTHEAST,OTHER,
12A,2018,Theft OF Vehicle,11,,,,SOUTHEAST,OTHER,
12A,2018,Violence  'Other' (Non-domestic),2,,,,SOUTHEAST,OTHER,
12A,2019,Break & Enter - Commercial,28,,,,SOUTHEAST,OTHER,
12A,2019,Break & Enter - Other Premises,1,,,,SOUTHEAST,OTHER,
12A,2019,Theft FROM Vehicle,9,,,,SOUTHEAST,OTHER,
12A,2019,Theft OF Vehicle,11,,,,SOUTHEAST,OTHER,
12A,2019,Violence  'Other' (Non-domestic),1,,,,SOUTHEAST,OTHER,
12A,2020,Assault (Non-domestic),1,,,,SOUTHEAST,OTHER,
12A,2020,Break & Enter - Commercial,38,,,,SOUTHEAST,OTHER,
12A,2020,Theft FROM Vehicle,20,,,,SOUTHEAST,OTHER,
12A,2020,Theft OF Vehicle,14,,,,SOUTHEAST,OTHER,
12A,2020,Violence  'Other' (Non-domestic),1,,,,SOUTHEAST,OTHER,
12A,2021,Break & Enter - Commercial,17,,,,SOUTHEAST,OTHER,
12A,2021,Break & Enter - Other Premises,2,,,,SOUTHEAST,OTHER,
12A,2021,Theft FROM Vehicle,8,,,,SOUTHEAST,OTHER,
12A,2021,Theft OF Vehicle,11,,,,SOUTHEAST,OTHER,
12A,2021,Violence  'Other' (Non-domestic),2,,,,SOUTHEAST,OTHER,
12A,2022,Assault (Non-domestic),1,,,,SOUTHEAST,OTHER,
12A,2022,Break & Enter - Commercial,22,,,,SOUTHEAST,OTHER,
12A,2022,Break & Enter - Dwelling,1,,,,SOUTHEAST,OTHER,
12A,2022,Break & Enter - Other Premises,4,,,,SOUTHEAST,OTHER,
12A,2022,Theft FROM Vehicle,13,,,,SOUTHEAST,OTHER,
12A,2022,Theft OF Vehicle,13,,,,SOUTHEAST,OTHER,
12A,2022,Violence  'Other' (Non-domestic),1,,,,SOUTHEAST,OTHER,
12A,2023,Assault (Non-domestic),2,,,,SOUTHEAST,OTHER,
12A,2023,Break & Enter - Commercial,21,,,,SOUTHEAST,OTHER,
12A,2023,Theft FROM Vehicle,15,,,,SOUTHEAST,OTHER,
12A,2023,Theft OF Vehicle,13,,,,SOUTHEAST,OTHER,
12A,2024,Assault (Non-domestic),1,,,,SOUTHEAST,OTHER,
12A,2024,Break & Enter - Commercial,18,,,,SOUTHEAST,OTHER,
12A,2024,Break & Enter - Dwelling,1,,,,SOUTHEAST,OTHER,
12A,2024,Theft FROM Vehicle,7,,,,SOUTHEAST,OTHER,
12A,2024,Theft OF Vehicle,8,,,,SOUTHEAST,OTHER,
12B,2018,Assault (Non-domestic),1,,,,SOUTHEAST,UNDEVELOPED,
12B,2018,Break & Enter - Commercial,4,,,,SOUTHEAST,UNDEVELOPED,
12B,2018,Theft OF Vehicle,3,,,,SOUTHEAST,UNDEVELOPED,
12B,2019,Break & Enter - Commercial,2,,,,SOUTHEAST,UNDEVELOPED,
12B,2019,Theft FROM Vehicle,1,,,,SOUTHEAST,UNDEVELOPED,
12B,2020,Assault (Non-domestic),1,,,,SOUTHEAST,UNDEVELOPED,
12B,2020,Theft FROM Vehicle,2,,,,SOUTHEAST,UNDEVELOPED,
12B,2020,Theft OF Vehicle,3,,,,SOUTHEAST,UNDEVELOPED,
12B,2021,Break & Enter - Commercial,1,,,,SOUTHEAST,UNDEVELOPED,
12B,2021,Theft FROM Vehicle,1,,,,SOUTHEAST,UNDEVELOPED,
12B,2022,Break & Enter - Commercial,3,,,,SOUTHEAST,UNDEVELOPED,
12B,2023,Theft OF Vehicle,1,,,,SOUTHEAST,UNDEVELOPED,
12B,2024,Break & Enter - Dwelling,1,,,,SOUTHEAST,UNDEVELOPED,
12C,2018,Theft FROM Vehicle,2,,,,SOUTHEAST,OTHER,
12C,2019,Theft OF Vehicle,1,,,,SOUTHEAST,OTHER,
12C,2022,Violence  'Other' (Non-domestic),1,,,,SOUTHEAST,OTHER,
12C,2023,Theft OF Vehicle,1,,,,SOUTHEAST,OTHER,
12C,2024,Street Robbery,1,,,,SOUTHEAST,OTHER,
12I,2020,Break & Enter - Commercial,1,,,,SOUTHEAST,UNDEVELOPED,
12I,2024,Break & Enter - Commercial,3,,,,SOUTHEAST,UNDEVELOPED,
12J,2018,Theft OF Vehicle,1,,,,SOUTHEAST,UNDEVELOPED,
12J,2019,Break & Enter - Commercial,12,,,,SOUTHEAST,UNDEVELOPED,
12J,2019,Break & Enter - Other Premises,1,,,,SOUTHEAST,UNDEVELOPED,
12J,2019,Theft FROM Vehicle,1,,,,SOUTHEAST,UNDEVELOPED,
12J,2019,Theft OF Vehicle,3,,,,SOUTHEAST,UNDEVELOPED,
